Time	Current	Field	Heating slope	Cooling slope	Adjusted slope	SLP				Time	Cooling slope				
62	151.2	0.03540	0.4326	-0.020575	0.453175	23.0667				73	-0.02083				
297	201.6	0.04719	0.4231	-0.0204	0.4435	22.5743				309	-0.02032				
556	249.9	0.05850	0.6059	-0.01775	0.62365	31.7439				568	-0.02048				
822	273	0.06391	0.3737	-0.01664	0.39034	19.8684				846	-0.01502				
1766	224.7	0.05260	0.2933	-0.022625	0.315925	16.0807				1258	-0.01826				Note that the highlighted data was one of the two 273A measurements we did
2153	176.4	0.04130	0.3773	-0.020205	0.397505	20.2331				1773	-0.02464				"Out of the two, it seemed to be least consistent with other nearby data"
2447	126	0.02950	0.3612	-0.026045	0.387245	19.7109				2159	-0.02061				The graph is independent of the highlighted data
2630	113.4	0.02655	0.263	-0.02483	0.28783	14.6506				2457	-0.0198				
2847	100.8	0.02360	0.2245	-0.01798	0.24248	12.3423				2648	-0.03229				
3093	81.9	0.01917	0.1216	-0.02375	0.14535	7.3984				2858	-0.01737				
3330	75.6	0.01770	0.1294	-0.025955	0.155355	7.9076				3111	-0.01859				
3640	60.9	0.01426	0.05611	-0.02118	0.07729	3.9341				3355	-0.02891				
4004	50.4	0.01180	0.009447	-0.01936	0.028807	1.4663				3688	-0.023				
										4231	-0.01936				
															
Time	Current	Field	Heating slope	Cooling slope	Adjusted slope	SLP									
62	151.2	0.03539592	0.4326	-0.020575	0.453175	23.06671776									
297	201.6	0.04719456	0.4231	-0.0204	0.4435	22.57425791									
556	249.9	0.05850159	0.6059	-0.01775	0.62365	31.74393674									
822	273	0.0639093	0.3737	-0.01664	0.39034	19.86840097									
1245	273	0.0639093	0.07752	-0.02145	0.09897	5.03759708									
1766	224.7	0.05260227	0.2933	-0.022625	0.315925	16.08065937									
2153	176.4	0.04129524	0.3773	-0.020205	0.397505	20.23310122									
2447	126	0.0294966	0.3612	-0.026045	0.387245	19.71086472									
2630	113.4	0.02654694	0.263	-0.02483	0.28783	14.65061703									
2847	100.8	0.02359728	0.2245	-0.01798	0.24248	12.342291									
3093	81.9	0.01917279	0.1216	-0.02375	0.14535	7.398350365									
3330	75.6	0.01769796	0.1294	-0.025955	0.155355	7.907607299									
3640	60.9	0.01425669	0.05611	-0.02118	0.07729	3.934079805									
4004	50.4	0.01179864	0.009447	-0.01936	0.028807	1.466283309									
